hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,11920.0,88.0,22.0,0.0
86,9180.0,18.0,2.0,0.0
87,9836.0,3.0,0.0,1.0
110,6308.0,63.0,28.0,1.0
132,9470.0,9.0,1.0,0.0
134,5.0,0.0,0.0,0.0
135,9363.0,39.0,18.0,0.0
136,13441.0,79.0,24.0,1.0
137,9927.0,77.0,26.0,0.0
138,4603.0,6.0,1.0,0.0
139,7580.0,44.0,15.0,1.0
140,8217.0,8.0,0.0,0.0
141,820.0,0.0,0.0,0.0
142,15838.0,179.0,51.0,2.0
143,50.0,0.0,0.0,0.0
144,3360.0,5.0,0.0,0.0
145,1178.0,2.0,0.0,0.0
146,15242.0,51.0,16.0,1.0
147,1871.0,51.0,13.0,0.0
148,5606.0,41.0,7.0,1.0
149,5348.0,2.0,0.0,0.0
150,4085.0,54.0,15.0,1.0
188,86466.0,534.0,157.0,3.0
189,85475.0,652.0,229.0,4.0
190,145567.0,746.0,257.0,5.0
191,90565.0,553.0,162.0,5.0
192,127389.0,918.0,283.0,5.0
193,141575.0,828.0,231.0,6.0
194,405.0,0.0,0.0,0.0
195,139223.0,1629.0,530.0,8.0
196,83696.0,591.0,163.0,5.0
296,6224.0,34.0,7.0,0.0
297,2635.0,0.0,0.0,0.0
344,6134.0,51.0,20.0,0.0
345,3730.0,0.0,0.0,0.0
346,1985.0,0.0,0.0,0.0
347,5473.0,43.0,14.0,0.0
348,1358.0,49.0,13.0,0.0
349,2910.0,54.0,16.0,0.0
350,4452.0,26.0,12.0,0.0
351,5713.0,63.0,23.0,1.0
352,2085.0,0.0,0.0,0.0
353,5853.0,60.0,22.0,0.0
366,6440.0,20.0,5.0,0.0
367,4106.0,35.0,9.0,0.0
368,4353.0,5.0,2.0,0.0
369,2180.0,28.0,12.0,0.0
370,4874.0,136.0,39.0,1.0
371,5385.0,11.0,4.0,0.0
372,2676.0,73.0,15.0,1.0
373,9680.0,13.0,7.0,0.0
374,387.0,3.0,0.0,0.0
375,1360.0,0.0,0.0,0.0
376,2001.0,3.0,1.0,0.0
377,8005.0,43.0,11.0,1.0
378,1731.0,87.0,26.0,1.0
379,1695.0,0.0,0.0,0.0
460,10183.0,50.0,12.0,0.0
461,4015.0,8.0,2.0,0.0
462,13115.0,270.0,89.0,1.0
463,5047.0,55.0,18.0,0.0
473,4905.0,0.0,0.0,0.0
474,5568.0,0.0,2.0,0.0
475,8224.0,136.0,35.0,0.0
476,655.0,0.0,0.0,0.0
477,2885.0,0.0,0.0,0.0
478,4890.0,10.0,5.0,0.0
479,175.0,0.0,0.0,0.0
480,6833.0,13.0,4.0,0.0
580,16902.0,127.0,36.0,0.0
581,978.0,12.0,4.0,1.0
582,8957.0,241.0,71.0,1.0
583,6348.0,4.0,3.0,0.0
584,8580.0,229.0,79.0,2.0
644,9550.0,32.0,13.0,0.0
645,9615.0,71.0,24.0,0.0
646,7338.0,9.0,3.0,0.0
735,7721.0,170.0,54.0,0.0
736,115.0,0.0,0.0,0.0
737,20889.0,96.0,29.0,1.0
990,13063.0,236.0,75.0,1.0
991,15416.0,135.0,43.0,1.0
992,21605.0,72.0,18.0,0.0
993,12521.0,52.0,17.0,0.0
994,17615.0,63.0,17.0,0.0
995,21409.0,287.0,107.0,2.0
996,15887.0,88.0,23.0,2.0
997,5453.0,26.0,6.0,0.0
998,31894.0,380.0,109.0,2.0
999,5545.0,6.0,4.0,0.0
1000,750.0,0.0,0.0,0.0
1001,1580.0,0.0,0.0,0.0
1002,12038.0,42.0,15.0,0.0
1003,970.0,0.0,0.0,0.0
1004,730.0,0.0,0.0,0.0
1005,1000.0,13.0,2.0,0.0
1006,72616.0,529.0,148.0,2.0
1007,879.0,75.0,15.0,1.0
1008,3479.0,18.0,2.0,1.0
1009,30905.0,294.0,89.0,2.0
1010,3995.0,0.0,0.0,0.0
1011,35.0,0.0,0.0,0.0
1012,4354.0,96.0,39.0,1.0
1013,1730.0,12.0,3.0,0.0
1014,7462.0,112.0,26.0,0.0
1056,1645.0,0.0,0.0,0.0
1057,2608.0,5.0,2.0,0.0
1058,5279.0,13.0,3.0,0.0
1059,1745.0,0.0,0.0,0.0
1060,5038.0,12.0,5.0,0.0
1061,5614.0,91.0,29.0,1.0
1062,3007.0,2.0,1.0,0.0
1063,4327.0,178.0,52.0,3.0
1064,4707.0,19.0,9.0,0.0
1065,4670.0,0.0,0.0,0.0
1066,10.0,0.0,0.0,0.0
1067,22383.0,170.0,56.0,1.0
1068,2742.0,11.0,2.0,0.0
1069,1105.0,0.0,0.0,0.0
1194,20680.0,325.0,95.0,0.0
1200,9111.0,46.0,23.0,0.0
1201,7251.0,3.0,1.0,0.0
1202,8793.0,183.0,53.0,1.0
1203,17320.0,96.0,33.0,1.0
1206,10728.0,136.0,44.0,2.0
1207,4095.0,4.0,1.0,0.0
1208,665.0,0.0,0.0,0.0
1291,900.0,0.0,0.0,0.0
1316,11557.0,12.0,1.0,0.0
1317,3506.0,10.0,4.0,0.0
1318,5219.0,42.0,18.0,1.0
1319,1170.0,0.0,0.0,0.0
1320,4112.0,135.0,37.0,1.0
1332,13379.0,114.0,27.0,0.0
1333,20.0,0.0,0.0,0.0
1334,5768.0,2.0,0.0,0.0
1335,6020.0,76.0,29.0,0.0
1336,13909.0,43.0,18.0,0.0
1337,3714.0,67.0,18.0,1.0
1338,15095.0,46.0,18.0,1.0
1339,5249.0,1.0,0.0,0.0
1383,9470.0,0.0,0.0,0.0
1384,1335.0,0.0,0.0,0.0
1452,15097.0,136.0,36.0,1.0
1453,8464.0,85.0,30.0,1.0
1454,4492.0,28.0,5.0,0.0
1455,19843.0,52.0,14.0,1.0
1456,13967.0,50.0,13.0,0.0
1457,14249.0,84.0,20.0,2.0
1458,11232.0,37.0,10.0,1.0
1459,19634.0,298.0,107.0,1.0
1460,2090.0,0.0,0.0,0.0
1461,11253.0,143.0,48.0,1.0
1462,14865.0,70.0,29.0,1.0
1463,3893.0,13.0,4.0,0.0
1464,7969.0,1.0,0.0,0.0
1540,399.0,6.0,0.0,0.0
1541,112.0,3.0,0.0,0.0
1542,55.0,0.0,0.0,0.0
1543,1625.0,0.0,0.0,0.0
1544,1485.0,0.0,0.0,0.0
1545,1955.0,0.0,0.0,0.0
1546,1325.0,0.0,0.0,0.0
1547,1725.0,5.0,0.0,0.0
1548,2470.0,0.0,0.0,0.0
1549,1421.0,22.0,6.0,1.0
1550,570.0,0.0,0.0,0.0
1551,1392.0,5.0,3.0,0.0
1552,1687.0,82.0,20.0,1.0
1553,1665.0,0.0,0.0,0.0
1554,75.0,0.0,0.0,0.0
1555,80.0,0.0,0.0,0.0
1556,1593.0,6.0,1.0,0.0
1557,1250.0,0.0,0.0,0.0
1558,630.0,0.0,0.0,0.0
1559,525.0,0.0,0.0,0.0
1560,295.0,0.0,0.0,0.0
1703,6050.0,149.0,44.0,2.0
1704,17064.0,99.0,42.0,0.0
1737,11086.0,56.0,28.0,0.0
1738,3968.0,18.0,4.0,0.0
1739,3124.0,1.0,0.0,0.0
1740,8746.0,42.0,17.0,0.0
1801,17272.0,25.0,8.0,0.0
1802,8125.0,112.0,51.0,2.0
1803,15946.0,91.0,23.0,0.0
1813,22837.0,122.0,34.0,2.0
1912,9146.0,26.0,13.0,0.0
1950,13170.0,78.0,34.0,3.0
1953,375.0,0.0,0.0,0.0
1972,4145.0,68.0,11.0,1.0
1973,13361.0,102.0,35.0,2.0
1974,7080.0,1.0,4.0,0.0
1975,9088.0,2.0,0.0,0.0
1976,14382.0,32.0,11.0,0.0
1977,12845.0,27.0,3.0,0.0
1978,18276.0,96.0,28.0,0.0
2252,15055.0,282.0,91.0,2.0
2253,10616.0,56.0,13.0,0.0
2254,4362.0,36.0,11.0,1.0
2255,695.0,0.0,0.0,0.0
2256,3181.0,96.0,27.0,1.0
2257,1767.0,6.0,2.0,0.0
2258,1648.0,87.0,25.0,0.0
2259,1530.0,0.0,0.0,0.0
2260,470.0,0.0,0.0,0.0
2261,515.0,0.0,0.0,0.0
2262,570.0,0.0,0.0,0.0
2263,22464.0,281.0,74.0,1.0
2326,15212.0,253.0,80.0,0.0
2327,14924.0,242.0,84.0,0.0
2328,4814.0,27.0,9.0,0.0
2394,13239.0,42.0,9.0,0.0
2395,910.0,0.0,0.0,0.0
2396,3354.0,1.0,0.0,0.0
2397,7219.0,121.0,47.0,3.0
2398,6714.0,74.0,27.0,0.0
2399,170.0,0.0,0.0,0.0
2400,90.0,0.0,0.0,0.0
2401,5834.0,37.0,14.0,0.0
2402,255.0,0.0,0.0,0.0
2403,3408.0,9.0,3.0,0.0
2404,315.0,0.0,0.0,0.0
2405,110.0,0.0,0.0,0.0
2464,4746.0,8.0,1.0,0.0
2465,8971.0,85.0,33.0,1.0
2466,8224.0,113.0,37.0,1.0
2467,3870.0,0.0,0.0,0.0
2468,9695.0,88.0,27.0,0.0
2469,5033.0,96.0,30.0,1.0
2470,6817.0,11.0,7.0,0.0
2471,3217.0,16.0,2.0,0.0
2472,15619.0,78.0,28.0,0.0
2473,245.0,0.0,0.0,0.0
2541,7452.0,16.0,7.0,0.0
2543,5604.0,27.0,9.0,0.0
2549,9744.0,17.0,4.0,0.0
2550,265.0,0.0,0.0,0.0
2551,1814.0,4.0,2.0,0.0
2552,3065.0,0.0,0.0,0.0
2553,1792.0,2.0,1.0,0.0
2554,405.0,0.0,0.0,0.0
2571,18243.0,73.0,29.0,0.0
2640,1240.0,0.0,0.0,0.0
2641,6576.0,123.0,34.0,2.0
2642,1488.0,5.0,2.0,0.0
2643,2020.0,0.0,0.0,0.0
2644,6425.0,26.0,8.0,1.0
2645,200.0,0.0,0.0,0.0
2646,5011.0,3.0,1.0,0.0
