hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,12007.0,22.0,1.0,0.0
86,9183.0,16.0,1.0,0.0
87,9840.0,0.0,0.0,0.0
110,6399.0,1.0,0.0,0.0
132,9478.0,2.0,0.0,0.0
134,5.0,0.0,0.0,0.0
135,9413.0,6.0,1.0,0.0
136,13533.0,12.0,0.0,0.0
137,10013.0,17.0,0.0,0.0
138,4604.0,6.0,0.0,0.0
139,7639.0,1.0,0.0,0.0
140,8220.0,5.0,0.0,0.0
141,820.0,0.0,0.0,0.0
142,16062.0,8.0,0.0,0.0
143,50.0,0.0,0.0,0.0
144,3365.0,0.0,0.0,0.0
145,1173.0,7.0,0.0,0.0
146,15285.0,24.0,1.0,0.0
147,1935.0,0.0,0.0,0.0
148,5655.0,0.0,0.0,0.0
149,5350.0,0.0,0.0,0.0
150,4154.0,1.0,0.0,0.0
188,87087.0,69.0,4.0,0.0
189,86345.0,15.0,0.0,0.0
190,146421.0,148.0,6.0,0.0
191,91226.0,57.0,2.0,0.0
192,128481.0,110.0,4.0,0.0
193,142589.0,48.0,3.0,0.0
194,405.0,0.0,0.0,0.0
195,141256.0,126.0,8.0,0.0
196,84384.0,67.0,4.0,0.0
296,6252.0,12.0,1.0,0.0
297,2633.0,2.0,0.0,0.0
344,6203.0,2.0,0.0,0.0
345,3720.0,10.0,0.0,0.0
346,1985.0,0.0,0.0,0.0
347,5529.0,1.0,0.0,0.0
348,1419.0,1.0,0.0,0.0
349,2962.0,18.0,0.0,0.0
350,4485.0,5.0,0.0,0.0
351,5796.0,4.0,0.0,0.0
352,2085.0,0.0,0.0,0.0
353,5935.0,0.0,0.0,0.0
366,6465.0,0.0,0.0,0.0
367,4147.0,3.0,0.0,0.0
368,4354.0,6.0,0.0,0.0
369,2220.0,0.0,0.0,0.0
370,5049.0,1.0,0.0,0.0
371,5390.0,10.0,0.0,0.0
372,2765.0,0.0,0.0,0.0
373,9678.0,20.0,2.0,0.0
374,390.0,0.0,0.0,0.0
375,1360.0,0.0,0.0,0.0
376,2005.0,0.0,0.0,0.0
377,8058.0,2.0,0.0,0.0
378,1845.0,0.0,0.0,0.0
379,1689.0,5.0,1.0,0.0
460,10241.0,4.0,0.0,0.0
461,4025.0,0.0,0.0,0.0
462,13465.0,9.0,1.0,0.0
463,5118.0,2.0,0.0,0.0
473,4905.0,0.0,0.0,0.0
474,5570.0,0.0,0.0,0.0
475,8395.0,0.0,0.0,0.0
476,655.0,0.0,0.0,0.0
477,2882.0,3.0,0.0,0.0
478,4905.0,0.0,0.0,0.0
479,175.0,0.0,0.0,0.0
480,6845.0,5.0,0.0,0.0
580,17051.0,13.0,1.0,0.0
581,995.0,0.0,0.0,0.0
582,9259.0,10.0,1.0,0.0
583,6354.0,1.0,0.0,0.0
584,8888.0,2.0,0.0,0.0
644,9594.0,1.0,0.0,0.0
645,9698.0,11.0,1.0,0.0
646,7348.0,2.0,0.0,0.0
735,7943.0,2.0,0.0,0.0
736,115.0,0.0,0.0,0.0
737,20995.0,20.0,0.0,0.0
990,13372.0,3.0,0.0,0.0
991,15584.0,10.0,1.0,0.0
992,21688.0,6.0,1.0,0.0
993,12583.0,7.0,0.0,0.0
994,17679.0,16.0,0.0,0.0
995,21794.0,9.0,2.0,0.0
