day,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
0,2798057.0,28.0,0.0,0.0
1,2798029.0,56.0,0.0,0.0
2,2798001.0,84.0,0.0,0.0
3,2797973.0,112.0,0.0,0.0
4,2797945.0,140.0,0.0,0.0
5,2797913.0,172.0,0.0,0.0
6,2797873.0,212.0,0.0,0.0
7,2797828.0,257.0,0.0,0.0
8,2797784.0,301.0,0.0,0.0
9,2797729.0,356.0,0.0,0.0
10,2797668.0,417.0,0.0,0.0
11,2797612.0,473.0,0.0,0.0
12,2797537.0,548.0,0.0,0.0
13,2797462.0,623.0,0.0,0.0
14,2797364.0,721.0,0.0,0.0
15,2797249.0,836.0,0.0,0.0
16,2797130.0,955.0,0.0,0.0
17,2797007.0,1078.0,0.0,0.0
18,2796861.0,1224.0,0.0,0.0
19,2796706.0,1379.0,0.0,0.0
20,2796540.0,1517.0,28.0,0.0
21,2796360.0,1669.0,56.0,0.0
22,2796157.0,1844.0,84.0,0.0
23,2795918.0,2055.0,112.0,0.0
24,2795679.0,2266.0,140.0,0.0
25,2795423.0,2490.0,172.0,0.0
26,2795131.0,2742.0,211.0,1.0
27,2794793.0,3035.0,255.0,2.0
28,2794423.0,3361.0,298.0,3.0
29,2794061.0,3668.0,352.0,4.0
30,2793606.0,4062.0,412.0,5.0
31,2793091.0,4521.0,467.0,6.0
32,2792566.0,4971.0,541.0,7.0
33,2792024.0,5438.0,615.0,8.0
34,2791432.0,5932.0,711.0,10.0
35,2790751.0,6498.0,824.0,12.0
36,2789991.0,7139.0,941.0,14.0
37,2789184.0,7823.0,1061.0,17.0
38,2788298.0,8563.0,1204.0,20.0
39,2787297.0,9409.0,1356.0,23.0
40,2786180.0,10360.0,1518.0,27.0
41,2785022.0,11338.0,1694.0,31.0
42,2783732.0,12425.0,1892.0,36.0
43,2782242.0,13676.0,2126.0,41.0
44,2780716.0,14963.0,2360.0,46.0
45,2779035.0,16388.0,2610.0,52.0
46,2777149.0,17982.0,2895.0,59.0
47,2775139.0,19655.0,3224.0,67.0
48,2772949.0,21476.0,3584.0,76.0
49,2770524.0,23539.0,3937.0,85.0
50,2767877.0,25731.0,4381.0,96.0
51,2764961.0,28132.0,4884.0,108.0
52,2761730.0,30838.0,5396.0,121.0
53,2758315.0,33711.0,5925.0,134.0
54,2754591.0,36844.0,6502.0,148.0
55,2750524.0,40230.0,7166.0,165.0
56,2746001.0,43993.0,7907.0,184.0
57,2741162.0,48025.0,8694.0,204.0
58,2735731.0,52570.0,9558.0,226.0
59,2730018.0,57282.0,10534.0,251.0
60,2723570.0,62614.0,11623.0,278.0
61,2716611.0,68415.0,12753.0,306.0
62,2709224.0,74512.0,14011.0,338.0
63,2701060.0,81186.0,15464.0,375.0
64,2692078.0,88642.0,16952.0,413.0
65,2682271.0,96769.0,18590.0,455.0
66,2671863.0,105292.0,20428.0,502.0
67,2660469.0,114676.0,22388.0,552.0
68,2647984.0,124972.0,24523.0,606.0
69,2634552.0,135979.0,26888.0,666.0
70,2620073.0,147811.0,29469.0,732.0
71,2604563.0,160408.0,32310.0,804.0
72,2587886.0,173853.0,35462.0,884.0
73,2570021.0,188303.0,38792.0,969.0
74,2550545.0,204053.0,42425.0,1062.0
75,2529523.0,221008.0,46391.0,1163.0
76,2507315.0,238693.0,50801.0,1276.0
77,2483115.0,258056.0,55518.0,1396.0
78,2457375.0,278362.0,60817.0,1531.0
79,2429786.0,300239.0,66387.0,1673.0
80,2400431.0,323146.0,72674.0,1834.0
81,2369064.0,347557.0,79457.0,2007.0
82,2336076.0,373160.0,86658.0,2191.0
83,2301255.0,399820.0,94615.0,2395.0
84,2264686.0,427406.0,103374.0,2619.0
85,2225658.0,456626.0,112937.0,2864.0
86,2184582.0,487293.0,123086.0,3124.0
87,2141737.0,518745.0,134195.0,3408.0
88,2097062.0,550938.0,146365.0,3720.0
89,2050633.0,583937.0,159460.0,4055.0
90,2002641.0,617453.0,173575.0,4416.0
91,1952590.0,651998.0,188694.0,4803.0
92,1901257.0,686663.0,204946.0,5219.0
93,1848503.0,721555.0,222362.0,5665.0
94,1794410.0,756177.0,241347.0,6151.0
95,1739168.0,790407.0,261834.0,6676.0
96,1683029.0,824342.0,283483.0,7231.0
97,1626280.0,856900.0,307070.0,7835.0
98,1569392.0,888057.0,332158.0,8478.0
99,1511976.0,917892.0,359050.0,9167.0
100,1454719.0,945798.0,387668.0,9900.0
101,1397652.0,971498.0,418251.0,10684.0
102,1340792.0,995371.0,450414.0,11508.0
103,1284974.0,1016373.0,484360.0,12378.0
104,1229902.0,1034883.0,520008.0,13292.0
105,1175987.0,1049776.0,558055.0,14267.0
106,1123369.0,1061323.0,598100.0,15293.0
107,1071891.0,1069967.0,639863.0,16364.0
108,1022039.0,1075160.0,683406.0,17480.0
109,973648.0,1077124.0,728673.0,18640.0
110,926971.0,1075828.0,775447.0,19839.0
111,882214.0,1070546.0,824235.0,21090.0
112,839611.0,1061822.0,874279.0,22373.0
113,798532.0,1050161.0,925701.0,23691.0
114,759804.0,1034808.0,978430.0,25043.0
115,722767.0,1016613.0,1032282.0,26423.0
116,687791.0,995468.0,1087000.0,27826.0
117,654625.0,971893.0,1142323.0,29244.0
118,623446.0,946195.0,1197779.0,30665.0
119,594190.0,918047.0,1253749.0,32099.0
120,566643.0,888343.0,1309569.0,33530.0
121,540670.0,857270.0,1365189.0,34956.0
122,516630.0,824457.0,1420621.0,36377.0
123,494113.0,791167.0,1475034.0,37771.0
124,473065.0,757150.0,1528723.0,39147.0
125,453865.0,722443.0,1581282.0,40495.0
126,435978.0,687721.0,1632576.0,41810.0
127,419356.0,652886.0,1682748.0,43095.0
128,404040.0,618359.0,1731345.0,44341.0
129,389770.0,584253.0,1778512.0,45550.0
130,376516.0,550836.0,1824016.0,46717.0
131,364283.0,518319.0,1867647.0,47836.0
132,353105.0,486912.0,1909167.0,48901.0
133,342704.0,456235.0,1949218.0,49928.0
134,333187.0,427032.0,1986970.0,50896.0
135,324202.0,398987.0,2023075.0,51821.0
136,316151.0,372062.0,2057177.0,52695.0
137,308550.0,346508.0,2089504.0,53523.0
138,301737.0,322146.0,2119900.0,54302.0
139,295432.0,299200.0,2148422.0,55031.0
140,289461.0,277628.0,2175278.0,55718.0
141,283932.0,257192.0,2200594.0,56367.0
142,278754.0,238338.0,2224025.0,56968.0
143,274135.0,220441.0,2245978.0,57531.0
144,269900.0,203635.0,2266494.0,58056.0
145,265937.0,188402.0,2285210.0,58536.0
146,262280.0,174178.0,2302644.0,58983.0
147,258930.0,160910.0,2318846.0,59399.0
148,255732.0,148786.0,2333785.0,59782.0
149,252800.0,137452.0,2347694.0,60139.0
150,250082.0,126920.0,2360613.0,60470.0
151,247506.0,117267.0,2372536.0,60776.0
152,245126.0,108470.0,2383435.0,61054.0
153,242832.0,100365.0,2393575.0,61313.0
154,240715.0,92966.0,2402853.0,61551.0
155,238704.0,85994.0,2411612.0,61775.0
156,236905.0,79744.0,2419460.0,61976.0
157,235086.0,73962.0,2426871.0,62166.0
158,233381.0,68859.0,2433509.0,62336.0
159,231822.0,64112.0,2439657.0,62494.0
160,230387.0,59579.0,2445476.0,62643.0
161,228966.0,55468.0,2450871.0,62780.0
162,227633.0,51622.0,2455920.0,62910.0
163,226372.0,48261.0,2460426.0,63026.0
164,225110.0,45285.0,2464560.0,63130.0
165,223936.0,42495.0,2468425.0,63229.0
166,222844.0,39931.0,2471991.0,63319.0
167,221789.0,37637.0,2475256.0,63403.0
168,220765.0,35468.0,2478369.0,63483.0
169,219730.0,33570.0,2481230.0,63555.0
170,218788.0,31794.0,2483880.0,63623.0
171,217947.0,30056.0,2486394.0,63688.0
172,217075.0,28550.0,2488712.0,63748.0
173,216175.0,27156.0,2490949.0,63805.0
174,215340.0,25874.0,2493015.0,63856.0
175,214574.0,24630.0,2494976.0,63905.0
176,213790.0,23615.0,2496730.0,63950.0
177,213069.0,22521.0,2498499.0,63996.0
178,212363.0,21523.0,2500160.0,64039.0
179,211656.0,20672.0,2501682.0,64075.0
180,211007.0,19886.0,2503082.0,64110.0
181,210348.0,19129.0,2504462.0,64146.0
182,209707.0,18438.0,2505761.0,64179.0
183,209068.0,17819.0,2506987.0,64211.0
184,208489.0,17136.0,2508219.0,64241.0
185,207898.0,16554.0,2509363.0,64270.0
186,207363.0,15998.0,2510428.0,64296.0
187,206799.0,15506.0,2511458.0,64322.0
188,206290.0,14991.0,2512456.0,64348.0
189,205765.0,14483.0,2513463.0,64374.0
190,205279.0,14024.0,2514385.0,64397.0
191,204793.0,13672.0,2515202.0,64418.0
192,204338.0,13254.0,2516054.0,64439.0
193,203887.0,12808.0,2516928.0,64462.0
194,203425.0,12435.0,2517742.0,64483.0
195,202999.0,12096.0,2518488.0,64502.0
196,202599.0,11715.0,2519251.0,64520.0
197,202147.0,11445.0,2519957.0,64536.0
