hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,11998.0,31.0,1.0,0.0
86,9198.0,2.0,0.0,0.0
87,9838.0,2.0,0.0,0.0
110,6359.0,36.0,5.0,0.0
132,9479.0,1.0,0.0,0.0
134,5.0,0.0,0.0,0.0
135,9398.0,20.0,2.0,0.0
136,13509.0,32.0,3.0,1.0
137,9992.0,33.0,5.0,0.0
138,4608.0,2.0,0.0,0.0
139,7614.0,23.0,3.0,0.0
140,8223.0,2.0,0.0,0.0
141,820.0,0.0,0.0,0.0
142,15991.0,67.0,12.0,0.0
143,50.0,0.0,0.0,0.0
144,3364.0,1.0,0.0,0.0
145,1180.0,0.0,0.0,0.0
146,15284.0,21.0,5.0,0.0
147,1914.0,19.0,2.0,0.0
148,5642.0,12.0,1.0,0.0
149,5350.0,0.0,0.0,0.0
150,4133.0,19.0,3.0,0.0
188,86918.0,212.0,29.0,1.0
189,86019.0,306.0,34.0,1.0
190,146192.0,333.0,49.0,1.0
191,91036.0,221.0,28.0,0.0
192,128164.0,383.0,47.0,1.0
193,142287.0,322.0,30.0,1.0
194,405.0,0.0,0.0,0.0
195,140606.0,697.0,87.0,0.0
196,84198.0,228.0,29.0,0.0
296,6252.0,13.0,0.0,0.0
297,2635.0,0.0,0.0,0.0
344,6177.0,25.0,3.0,0.0
345,3730.0,0.0,0.0,0.0
346,1985.0,0.0,0.0,0.0
347,5507.0,22.0,1.0,0.0
348,1403.0,14.0,3.0,0.0
349,2956.0,22.0,2.0,0.0
350,4476.0,10.0,4.0,0.0
351,5767.0,28.0,5.0,0.0
352,2085.0,0.0,0.0,0.0
353,5903.0,27.0,5.0,0.0
366,6457.0,7.0,1.0,0.0
367,4136.0,13.0,1.0,0.0
368,4357.0,3.0,0.0,0.0
369,2202.0,16.0,2.0,0.0
370,4986.0,58.0,6.0,0.0
371,5394.0,6.0,0.0,0.0
372,2739.0,24.0,2.0,0.0
373,9691.0,8.0,1.0,0.0
374,390.0,0.0,0.0,0.0
375,1360.0,0.0,0.0,0.0
376,2003.0,2.0,0.0,0.0
377,8039.0,19.0,2.0,0.0
378,1806.0,34.0,4.0,1.0
379,1695.0,0.0,0.0,0.0
460,10223.0,21.0,1.0,0.0
461,4022.0,2.0,1.0,0.0
462,13344.0,114.0,17.0,0.0
463,5093.0,23.0,4.0,0.0
473,4905.0,0.0,0.0,0.0
474,5568.0,0.0,2.0,0.0
475,8340.0,48.0,7.0,0.0
476,655.0,0.0,0.0,0.0
477,2885.0,0.0,0.0,0.0
478,4899.0,3.0,3.0,0.0
479,175.0,0.0,0.0,0.0
480,6843.0,7.0,0.0,0.0
580,17004.0,57.0,4.0,0.0
581,989.0,6.0,0.0,0.0
582,9171.0,88.0,11.0,0.0
583,6351.0,3.0,1.0,0.0
584,8766.0,105.0,18.0,1.0
644,9578.0,15.0,2.0,0.0
645,9678.0,25.0,7.0,0.0
646,7344.0,6.0,0.0,0.0
735,7872.0,64.0,9.0,0.0
736,115.0,0.0,0.0,0.0
737,20966.0,42.0,7.0,0.0
990,13258.0,104.0,12.0,1.0
991,15528.0,58.0,9.0,0.0
992,21665.0,27.0,3.0,0.0
993,12564.0,23.0,3.0,0.0
994,17666.0,26.0,3.0,0.0
995,21648.0,135.0,22.0,0.0
996,15959.0,36.0,5.0,0.0
997,5477.0,7.0,1.0,0.0
998,32212.0,156.0,16.0,1.0
999,5550.0,3.0,2.0,0.0
1000,750.0,0.0,0.0,0.0
1001,1580.0,0.0,0.0,0.0
1002,12072.0,21.0,2.0,0.0
1003,970.0,0.0,0.0,0.0
1004,730.0,0.0,0.0,0.0
1005,1012.0,3.0,0.0,0.0
1006,73062.0,210.0,23.0,0.0
1007,943.0,25.0,2.0,0.0
1008,3494.0,6.0,0.0,0.0
1009,31146.0,127.0,17.0,0.0
1010,3995.0,0.0,0.0,0.0
1011,35.0,0.0,0.0,0.0
1012,4437.0,43.0,10.0,0.0
1013,1739.0,6.0,0.0,0.0
1014,7561.0,36.0,3.0,0.0
1056,1645.0,0.0,0.0,0.0
1057,2611.0,4.0,0.0,0.0
1058,5291.0,4.0,0.0,0.0
1059,1745.0,0.0,0.0,0.0
1060,5046.0,7.0,2.0,0.0
1061,5691.0,41.0,2.0,1.0
1062,3009.0,1.0,0.0,0.0
1063,4480.0,71.0,9.0,0.0
1064,4722.0,12.0,1.0,0.0
1065,4670.0,0.0,0.0,0.0
1066,10.0,0.0,0.0,0.0
1067,22520.0,83.0,6.0,1.0
1068,2751.0,4.0,0.0,0.0
1069,1105.0,0.0,0.0,0.0
1194,20963.0,119.0,18.0,0.0
1200,9153.0,22.0,5.0,0.0
1201,7254.0,1.0,0.0,0.0
1202,8952.0,71.0,7.0,0.0
1203,17396.0,48.0,6.0,0.0
1206,10841.0,59.0,10.0,0.0
1207,4098.0,2.0,0.0,0.0
1208,665.0,0.0,0.0,0.0
1291,900.0,0.0,0.0,0.0
1316,11567.0,2.0,1.0,0.0
1317,3514.0,6.0,0.0,0.0
1318,5254.0,23.0,3.0,0.0
1319,1170.0,0.0,0.0,0.0
1320,4224.0,58.0,3.0,0.0
1332,13477.0,38.0,5.0,0.0
1333,20.0,0.0,0.0,0.0
1334,5770.0,0.0,0.0,0.0
1335,6086.0,33.0,6.0,0.0
1336,13949.0,17.0,4.0,0.0
1337,3771.0,27.0,2.0,0.0
1338,15133.0,23.0,4.0,0.0
1339,5250.0,0.0,0.0,0.0
1383,9470.0,0.0,0.0,0.0
1384,1335.0,0.0,0.0,0.0
1452,15214.0,48.0,8.0,0.0
1453,8535.0,39.0,6.0,0.0
1454,4516.0,7.0,2.0,0.0
1455,19891.0,17.0,2.0,0.0
1456,14009.0,18.0,3.0,0.0
1457,14321.0,32.0,2.0,0.0
1458,11263.0,14.0,3.0,0.0
1459,19884.0,138.0,18.0,0.0
1460,2090.0,0.0,0.0,0.0
1461,11377.0,59.0,9.0,0.0
1462,14924.0,33.0,7.0,1.0
1463,3905.0,4.0,1.0,0.0
1464,7970.0,0.0,0.0,0.0
1540,404.0,1.0,0.0,0.0
1541,115.0,0.0,0.0,0.0
1542,55.0,0.0,0.0,0.0
1543,1625.0,0.0,0.0,0.0
1544,1485.0,0.0,0.0,0.0
1545,1955.0,0.0,0.0,0.0
1546,1325.0,0.0,0.0,0.0
1547,1730.0,0.0,0.0,0.0
1548,2470.0,0.0,0.0,0.0
1549,1441.0,9.0,0.0,0.0
1550,570.0,0.0,0.0,0.0
1551,1397.0,3.0,0.0,0.0
1552,1758.0,27.0,5.0,0.0
1553,1665.0,0.0,0.0,0.0
1554,75.0,0.0,0.0,0.0
1555,80.0,0.0,0.0,0.0
1556,1598.0,2.0,0.0,0.0
1557,1250.0,0.0,0.0,0.0
1558,630.0,0.0,0.0,0.0
1559,525.0,0.0,0.0,0.0
1560,295.0,0.0,0.0,0.0
1703,6175.0,63.0,7.0,0.0
1704,17146.0,48.0,11.0,0.0
1737,11136.0,27.0,7.0,0.0
1738,3985.0,4.0,1.0,0.0
1739,3125.0,0.0,0.0,0.0
1740,8781.0,20.0,4.0,0.0
1801,17293.0,10.0,2.0,0.0
1802,8219.0,59.0,12.0,0.0
1803,16021.0,36.0,3.0,0.0
1813,22941.0,50.0,4.0,0.0
1912,9170.0,13.0,2.0,0.0
1950,13239.0,38.0,8.0,0.0
1953,375.0,0.0,0.0,0.0
1972,4203.0,20.0,2.0,0.0
1973,13450.0,43.0,7.0,0.0
1974,7081.0,3.0,1.0,0.0
1975,9090.0,0.0,0.0,0.0
1976,14407.0,15.0,3.0,0.0
1977,12868.0,7.0,0.0,0.0
1978,18353.0,43.0,4.0,0.0
2252,15300.0,109.0,21.0,0.0
2253,10664.0,18.0,3.0,0.0
2254,4393.0,16.0,1.0,0.0
2255,695.0,0.0,0.0,0.0
2256,3264.0,39.0,2.0,0.0
2257,1773.0,2.0,0.0,0.0
2258,1723.0,30.0,7.0,0.0
2259,1530.0,0.0,0.0,0.0
2260,470.0,0.0,0.0,0.0
2261,515.0,0.0,0.0,0.0
2262,570.0,0.0,0.0,0.0
2263,22704.0,100.0,16.0,0.0
2326,15426.0,105.0,14.0,0.0
2327,15129.0,105.0,16.0,0.0
2328,4836.0,11.0,3.0,0.0
2394,13276.0,13.0,1.0,0.0
2395,910.0,0.0,0.0,0.0
2396,3355.0,0.0,0.0,0.0
2397,7317.0,61.0,11.0,1.0
2398,6776.0,35.0,4.0,0.0
2399,170.0,0.0,0.0,0.0
2400,90.0,0.0,0.0,0.0
2401,5864.0,19.0,2.0,0.0
2402,255.0,0.0,0.0,0.0
2403,3417.0,3.0,0.0,0.0
2404,315.0,0.0,0.0,0.0
2405,110.0,0.0,0.0,0.0
2464,4753.0,2.0,0.0,0.0
2465,9041.0,42.0,7.0,0.0
2466,8318.0,50.0,7.0,0.0
2467,3870.0,0.0,0.0,0.0
2468,9767.0,38.0,5.0,0.0
2469,5115.0,39.0,6.0,0.0
2470,6826.0,6.0,3.0,0.0
2471,3229.0,5.0,1.0,0.0
2472,15686.0,34.0,5.0,0.0
2473,245.0,0.0,0.0,0.0
2541,7468.0,7.0,0.0,0.0
2543,5626.0,13.0,1.0,0.0
2549,9760.0,5.0,0.0,0.0
2550,265.0,0.0,0.0,0.0
2551,1818.0,2.0,0.0,0.0
2552,3065.0,0.0,0.0,0.0
2553,1793.0,2.0,0.0,0.0
2554,405.0,0.0,0.0,0.0
2571,18304.0,33.0,8.0,0.0
2640,1240.0,0.0,0.0,0.0
2641,6683.0,47.0,5.0,0.0
2642,1492.0,2.0,1.0,0.0
2643,2020.0,0.0,0.0,0.0
2644,6449.0,10.0,1.0,0.0
2645,200.0,0.0,0.0,0.0
2646,5013.0,2.0,0.0,0.0
2661,17293.0,66.0,10.0,1.0
2662,9517.0,12.0,1.0,0.0
2663,8559.0,48.0,7.0,1.0
2664,365.0,0.0,0.0,0.0
2665,420.0,0.0,0.0,0.0
2666,8153.0,58.0,9.0,0.0
2667,3794.0,1.0,0.0,0.0
2668,2295.0,0.0,0.0,0.0
