day,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
0,2798057.0,28.0,0.0,0.0
1,2798029.0,56.0,0.0,0.0
2,2798001.0,84.0,0.0,0.0
3,2797973.0,112.0,0.0,0.0
4,2797945.0,140.0,0.0,0.0
5,2797915.0,170.0,0.0,0.0
6,2797875.0,210.0,0.0,0.0
7,2797831.0,254.0,0.0,0.0
8,2797782.0,303.0,0.0,0.0
9,2797738.0,347.0,0.0,0.0
10,2797686.0,399.0,0.0,0.0
11,2797613.0,472.0,0.0,0.0
12,2797541.0,544.0,0.0,0.0
13,2797465.0,620.0,0.0,0.0
14,2797374.0,711.0,0.0,0.0
15,2797287.0,798.0,0.0,0.0
16,2797181.0,904.0,0.0,0.0
17,2797057.0,1028.0,0.0,0.0
18,2796917.0,1168.0,0.0,0.0
19,2796769.0,1316.0,0.0,0.0
20,2796602.0,1455.0,28.0,0.0
21,2796409.0,1620.0,56.0,0.0
22,2796198.0,1803.0,84.0,0.0
23,2795962.0,2011.0,112.0,0.0
24,2795723.0,2222.0,140.0,0.0
25,2795458.0,2457.0,170.0,0.0
26,2795165.0,2710.0,209.0,1.0
27,2794808.0,3023.0,252.0,2.0
28,2794457.0,3326.0,299.0,3.0
29,2794095.0,3644.0,342.0,4.0
30,2793677.0,4009.0,394.0,5.0
31,2793188.0,4425.0,466.0,6.0
32,2792657.0,4884.0,537.0,7.0
33,2792075.0,5390.0,612.0,8.0
34,2791475.0,5899.0,701.0,10.0
35,2790838.0,6449.0,786.0,12.0
36,2790078.0,7103.0,890.0,14.0
37,2789226.0,7831.0,1011.0,17.0
38,2788304.0,8613.0,1148.0,20.0
39,2787323.0,9446.0,1293.0,23.0
40,2786649.0,9953.0,1456.0,27.0
41,2785923.0,10486.0,1645.0,31.0
42,2785128.0,11070.0,1851.0,36.0
43,2784269.0,11694.0,2081.0,41.0
44,2783271.0,12453.0,2315.0,46.0
45,2782301.0,13158.0,2574.0,52.0
46,2781231.0,13935.0,2860.0,59.0
47,2780111.0,14698.0,3209.0,67.0
48,2778935.0,15523.0,3552.0,75.0
49,2777694.0,16402.0,3905.0,84.0
50,2776430.0,17248.0,4313.0,94.0
51,2775090.0,18099.0,4790.0,106.0
52,2773708.0,18950.0,5308.0,119.0
53,2772283.0,19793.0,5876.0,133.0
54,2770800.0,20676.0,6461.0,148.0
55,2769267.0,21572.0,7083.0,163.0
56,2767577.0,22502.0,7824.0,182.0
57,2765900.0,23327.0,8655.0,203.0
58,2764115.0,24190.0,9554.0,226.0
59,2762264.0,25060.0,10511.0,250.0
60,2760415.0,26235.0,11169.0,266.0
61,2758410.0,27514.0,11877.0,284.0
62,2756276.0,28853.0,12653.0,303.0
63,2754053.0,30216.0,13492.0,324.0
64,2751734.0,31537.0,14466.0,348.0
65,2749444.0,32857.0,15412.0,372.0
66,2746922.0,34309.0,16456.0,398.0
67,2744349.0,35762.0,17548.0,426.0
68,2741577.0,37358.0,18695.0,455.0
69,2738762.0,38932.0,19905.0,486.0
70,2735883.0,40547.0,21138.0,517.0
71,2732817.0,42273.0,22445.0,550.0
72,2729577.0,44131.0,23793.0,584.0
73,2726289.0,45994.0,25183.0,619.0
74,2722757.0,48043.0,26629.0,656.0
75,2719205.0,50062.0,28124.0,694.0
76,2715537.0,52040.0,29772.0,736.0
77,2711626.0,54274.0,31408.0,777.0
78,2707571.0,56544.0,33149.0,821.0
79,2703368.0,58896.0,34954.0,867.0
80,2698974.0,61441.0,36757.0,913.0
81,2694391.0,64019.0,38712.0,963.0
82,2689568.0,66708.0,40793.0,1016.0
83,2684686.0,69367.0,42961.0,1071.0
84,2679504.0,72230.0,45223.0,1128.0
85,2674224.0,75220.0,47456.0,1185.0
86,2668684.0,78238.0,49915.0,1248.0
87,2663095.0,81254.0,52424.0,1312.0
88,2657139.0,84438.0,55127.0,1381.0
89,2651050.0,87712.0,57872.0,1451.0
90,2644688.0,91195.0,60680.0,1522.0
91,2638093.0,94724.0,63670.0,1598.0
92,2631214.0,98363.0,66829.0,1679.0
93,2624023.0,102266.0,70035.0,1761.0
94,2616582.0,106175.0,73479.0,1849.0
95,2609052.0,110153.0,76943.0,1937.0
96,2601122.0,114415.0,80520.0,2028.0
97,2592975.0,118651.0,84334.0,2125.0
98,2584524.0,123047.0,88288.0,2226.0
99,2575766.0,127602.0,92386.0,2331.0
100,2566781.0,132193.0,96671.0,2440.0
101,2557548.0,136843.0,101140.0,2554.0
102,2547854.0,141714.0,105843.0,2674.0
103,2537882.0,146804.0,110603.0,2796.0
104,2527670.0,151834.0,115656.0,2925.0
105,2517132.0,157092.0,120804.0,3057.0
106,2506401.0,162283.0,126206.0,3195.0
107,2495208.0,167887.0,131656.0,3334.0
108,2483616.0,173523.0,137464.0,3482.0
109,2472054.0,178996.0,143401.0,3634.0
110,2459867.0,184821.0,149604.0,3793.0
111,2447447.0,190646.0,156035.0,3957.0
112,2434820.0,196394.0,162743.0,4128.0
113,2421786.0,202237.0,169755.0,4307.0
114,2408317.0,208265.0,177010.0,4493.0
115,2394364.0,214688.0,184352.0,4681.0
116,2380473.0,220649.0,192084.0,4879.0
117,2365845.0,227130.0,200028.0,5082.0
118,2351012.0,233512.0,208268.0,5293.0
119,2335980.0,239786.0,216808.0,5511.0
120,2320701.0,246080.0,225569.0,5735.0
121,2305062.0,252486.0,234572.0,5965.0
122,2288965.0,258889.0,244024.0,6207.0
123,2272547.0,265335.0,253747.0,6456.0
124,2256081.0,271589.0,263704.0,6711.0
125,2239150.0,277982.0,273979.0,6974.0
126,2221980.0,284421.0,284442.0,7242.0
127,2204631.0,290577.0,295356.0,7521.0
128,2186893.0,296723.0,306659.0,7810.0
129,2168800.0,303254.0,317932.0,8099.0
130,2150719.0,309148.0,329815.0,8403.0
131,2132279.0,315168.0,341925.0,8713.0
132,2113714.0,321106.0,354237.0,9028.0
133,2094841.0,326945.0,366946.0,9353.0
134,2075731.0,332586.0,380079.0,9689.0
135,2056493.0,337871.0,393684.0,10037.0
136,2037019.0,343454.0,407228.0,10384.0
137,2017427.0,348418.0,421491.0,10749.0
138,1997770.0,353242.0,435954.0,11119.0
139,1977860.0,358120.0,450611.0,11494.0
140,1958082.0,362619.0,465509.0,11875.0
141,1938089.0,366973.0,480758.0,12265.0
142,1917768.0,371197.0,496453.0,12667.0
143,1897683.0,374864.0,512461.0,13077.0
144,1877200.0,378881.0,528516.0,13488.0
145,1856801.0,382349.0,545024.0,13911.0
146,1836551.0,385429.0,561765.0,14340.0
147,1816078.0,388553.0,578681.0,14773.0
148,1795826.0,391067.0,595976.0,15216.0
149,1775572.0,393228.0,613617.0,15668.0
150,1755680.0,395039.0,631246.0,16120.0
151,1735646.0,396633.0,649225.0,16581.0
152,1715700.0,398014.0,667326.0,17045.0
153,1696131.0,398710.0,685728.0,17516.0
154,1676490.0,399241.0,704361.0,17993.0
155,1657042.0,399451.0,723119.0,18473.0
156,1637746.0,399273.0,742107.0,18959.0
157,1618455.0,398972.0,761210.0,19448.0
158,1599472.0,398298.0,780376.0,19939.0
159,1580425.0,397435.0,799789.0,20436.0
160,1561762.0,396320.0,819073.0,20930.0
161,1543471.0,394618.0,838567.0,21429.0
162,1525515.0,392253.0,858380.0,21937.0
163,1507517.0,390166.0,877963.0,22439.0
164,1489904.0,387296.0,897934.0,22951.0
165,1472811.0,383990.0,917824.0,23460.0
166,1455954.0,380597.0,937568.0,23966.0
167,1439210.0,376868.0,957530.0,24477.0
168,1422901.0,372925.0,977276.0,24983.0
169,1406939.0,368633.0,997024.0,25489.0
170,1391249.0,364431.0,1016419.0,25986.0
171,1375933.0,359713.0,1035953.0,26486.0
172,1360889.0,354811.0,1055401.0,26984.0
173,1346176.0,349955.0,1074481.0,27473.0
174,1331872.0,344618.0,1093631.0,27964.0
175,1317667.0,339375.0,1112593.0,28450.0
176,1303911.0,333835.0,1131407.0,28932.0
177,1290615.0,327840.0,1150216.0,29414.0
178,1277518.0,321954.0,1168725.0,29888.0
179,1264876.0,315549.0,1187296.0,30364.0
180,1252562.0,309200.0,1205493.0,30830.0
181,1240404.0,303067.0,1223327.0,31287.0
182,1228776.0,296739.0,1240835.0,31735.0
183,1217401.0,290116.0,1258384.0,32184.0
184,1206406.0,283498.0,1275557.0,32624.0
185,1195739.0,277072.0,1292223.0,33051.0
186,1185231.0,270723.0,1308659.0,33472.0
187,1175184.0,264026.0,1324985.0,33890.0
188,1165653.0,257248.0,1340887.0,34297.0
189,1156151.0,250788.0,1356450.0,34696.0
190,1147121.0,244128.0,1371748.0,35088.0
191,1138286.0,237647.0,1386682.0,35470.0
192,1129917.0,230972.0,1401350.0,35846.0
193,1121696.0,224480.0,1415696.0,36213.0
194,1113584.0,218288.0,1429643.0,36570.0
195,1105717.0,211950.0,1443493.0,36925.0
196,1098353.0,205558.0,1456906.0,37268.0
