hood_id,PersonState.untouched,PersonState.infected,PersonState.recovered,PersonState.deceased
85,771.0,2.0,10979.0,278.0
86,584.0,3.0,8402.0,211.0
87,579.0,1.0,9013.0,247.0
110,433.0,2.0,5828.0,137.0
132,577.0,2.0,8687.0,214.0
134,5.0,0.0,0.0,0.0
135,568.0,2.0,8632.0,218.0
136,880.0,3.0,12359.0,303.0
137,624.0,0.0,9187.0,219.0
138,285.0,1.0,4221.0,103.0
139,473.0,2.0,6999.0,166.0
140,493.0,2.0,7541.0,189.0
141,66.0,96.0,644.0,14.0
142,1056.0,1.0,14677.0,336.0
143,50.0,0.0,0.0,0.0
144,203.0,0.0,3102.0,60.0
145,70.0,0.0,1084.0,26.0
146,964.0,7.0,13941.0,398.0
147,104.0,0.0,1782.0,49.0
148,328.0,2.0,5186.0,139.0
149,309.0,5.0,4909.0,127.0
150,264.0,2.0,3818.0,71.0
188,5515.0,27.0,79494.0,2124.0
189,5291.0,26.0,79094.0,1949.0
190,9228.0,30.0,133927.0,3390.0
191,5563.0,29.0,83539.0,2154.0
192,7995.0,37.0,117489.0,3074.0
193,8824.0,28.0,130464.0,3324.0
194,32.0,0.0,361.0,12.0
195,8975.0,36.0,129046.0,3333.0
196,5244.0,22.0,77155.0,2034.0
296,406.0,0.0,5715.0,144.0
297,162.0,1.0,2398.0,74.0
344,408.0,0.0,5678.0,119.0
345,237.0,1.0,3393.0,99.0
346,140.0,1.0,1798.0,46.0
347,344.0,1.0,5062.0,123.0
348,98.0,122.0,1172.0,28.0
349,177.0,0.0,2734.0,69.0
350,292.0,1.0,4109.0,88.0
351,375.0,2.0,5297.0,126.0
352,139.0,0.0,1892.0,54.0
353,379.0,2.0,5405.0,149.0
366,447.0,0.0,5888.0,130.0
367,254.0,1.0,3791.0,104.0
368,255.0,3.0,3992.0,110.0
369,142.0,53.0,1981.0,44.0
370,351.0,0.0,4564.0,135.0
371,294.0,0.0,4990.0,116.0
372,191.0,4.0,2491.0,79.0
373,614.0,8.0,8861.0,217.0
374,390.0,0.0,0.0,0.0
375,76.0,1.0,1254.0,29.0
376,1948.0,47.0,10.0,0.0
377,483.0,0.0,7409.0,168.0
378,104.0,18.0,1675.0,48.0
379,117.0,1.0,1543.0,34.0
460,653.0,3.0,9336.0,253.0
461,284.0,1.0,3665.0,75.0
462,823.0,3.0,12340.0,309.0
463,328.0,0.0,4669.0,123.0
473,274.0,1.0,4516.0,114.0
474,350.0,3.0,5089.0,128.0
475,598.0,1.0,7610.0,186.0
476,438.0,157.0,56.0,4.0
477,193.0,2.0,2613.0,77.0
478,313.0,0.0,4481.0,111.0
479,175.0,0.0,0.0,0.0
480,447.0,0.0,6266.0,137.0
580,1092.0,2.0,15590.0,381.0
581,59.0,3.0,915.0,18.0
582,544.0,3.0,8489.0,234.0
583,369.0,0.0,5833.0,153.0
584,568.0,3.0,8118.0,201.0
644,625.0,2.0,8744.0,224.0
645,673.0,0.0,8802.0,235.0
646,506.0,1.0,6669.0,174.0
735,487.0,0.0,7269.0,189.0
736,115.0,0.0,0.0,0.0
737,1336.0,5.0,19139.0,535.0
990,777.0,4.0,12262.0,332.0
991,989.0,4.0,14243.0,359.0
992,1382.0,2.0,19795.0,516.0
993,789.0,1.0,11485.0,315.0
994,1100.0,4.0,16194.0,397.0
995,1413.0,3.0,19894.0,495.0
996,969.0,5.0,14632.0,394.0
997,333.0,0.0,5029.0,123.0
998,1963.0,10.0,29656.0,756.0
999,354.0,2.0,5061.0,138.0
1000,44.0,19.0,667.0,20.0
1001,109.0,4.0,1435.0,32.0
1002,676.0,0.0,11108.0,311.0
1003,65.0,1.0,889.0,15.0
1004,45.0,0.0,665.0,20.0
1005,1008.0,7.0,0.0,0.0
1006,4666.0,13.0,66886.0,1730.0
1007,72.0,0.0,870.0,28.0
1008,226.0,1.0,3204.0,69.0
1009,2028.0,8.0,28477.0,777.0
1010,257.0,0.0,3643.0,95.0
1011,34.0,0.0,1.0,0.0
1012,272.0,2.0,4113.0,103.0
1013,113.0,0.0,1594.0,38.0
1014,468.0,8.0,6946.0,178.0
1056,112.0,1.0,1510.0,22.0
1057,154.0,0.0,2403.0,58.0
1058,330.0,1.0,4847.0,117.0
1059,104.0,1.0,1595.0,45.0
1060,294.0,2.0,4638.0,121.0
1061,378.0,6.0,5213.0,138.0
1062,173.0,0.0,2777.0,60.0
1063,269.0,1.0,4179.0,111.0
1064,309.0,0.0,4322.0,104.0
1065,284.0,2.0,4272.0,112.0
1066,10.0,0.0,0.0,0.0
1067,1363.0,3.0,20734.0,510.0
1068,181.0,1.0,2532.0,41.0
1069,76.0,0.0,1004.0,25.0
1194,1284.0,5.0,19296.0,515.0
1200,541.0,0.0,8424.0,215.0
1201,467.0,2.0,6618.0,168.0
1202,580.0,6.0,8209.0,235.0
1203,1061.0,1.0,15971.0,417.0
1206,738.0,3.0,9921.0,248.0
1207,279.0,1.0,3699.0,121.0
1208,664.0,1.0,0.0,0.0
1291,166.0,370.0,357.0,7.0
1316,707.0,1.0,10584.0,278.0
1317,212.0,11.0,3212.0,85.0
1318,317.0,1.0,4857.0,105.0
1319,78.0,0.0,1069.0,23.0
1320,248.0,2.0,3941.0,94.0
1332,857.0,4.0,12380.0,279.0
1333,20.0,0.0,0.0,0.0
1334,397.0,2.0,5207.0,164.0
1335,384.0,0.0,5593.0,148.0
1336,868.0,6.0,12789.0,307.0
1337,224.0,1.0,3481.0,94.0
1338,939.0,6.0,13832.0,383.0
1339,321.0,0.0,4809.0,120.0
1383,608.0,3.0,8663.0,196.0
1384,84.0,13.0,1216.0,22.0
1452,930.0,6.0,13995.0,339.0
1453,508.0,3.0,7858.0,211.0
1454,291.0,0.0,4131.0,103.0
1455,1230.0,7.0,18212.0,461.0
1456,881.0,3.0,12835.0,311.0
1457,867.0,1.0,13131.0,356.0
1458,726.0,2.0,10283.0,269.0
1459,1244.0,4.0,18308.0,484.0
1460,123.0,0.0,1916.0,51.0
1461,719.0,1.0,10460.0,265.0
1462,914.0,0.0,13696.0,355.0
1463,256.0,3.0,3558.0,93.0
1464,448.0,2.0,7333.0,187.0
1540,26.0,0.0,368.0,11.0
1541,115.0,0.0,0.0,0.0
1542,55.0,0.0,0.0,0.0
1543,90.0,23.0,1472.0,40.0
1544,95.0,2.0,1358.0,30.0
1545,94.0,0.0,1809.0,52.0
1546,73.0,0.0,1218.0,34.0
1547,136.0,0.0,1555.0,39.0
1548,157.0,1.0,2256.0,56.0
1549,87.0,1.0,1328.0,34.0
1550,570.0,0.0,0.0,0.0
1551,85.0,0.0,1271.0,44.0
1552,95.0,3.0,1652.0,40.0
1553,99.0,1.0,1517.0,48.0
1554,75.0,0.0,0.0,0.0
1555,80.0,0.0,0.0,0.0
1556,112.0,0.0,1453.0,35.0
1557,89.0,0.0,1126.0,35.0
1558,231.0,279.0,117.0,3.0
1559,525.0,0.0,0.0,0.0
1560,295.0,0.0,0.0,0.0
1703,394.0,1.0,5697.0,153.0
1704,1122.0,3.0,15679.0,401.0
1737,750.0,1.0,10154.0,265.0
1738,298.0,0.0,3607.0,85.0
1739,173.0,0.0,2878.0,74.0
1740,542.0,0.0,8060.0,203.0
1801,1154.0,6.0,15736.0,409.0
1802,547.0,0.0,7553.0,190.0
1803,961.0,3.0,14714.0,382.0
1813,1381.0,11.0,21043.0,560.0
1912,550.0,1.0,8418.0,216.0
1950,778.0,3.0,12225.0,279.0
1953,375.0,0.0,0.0,0.0
1972,292.0,1.0,3831.0,101.0
1973,838.0,2.0,12345.0,315.0
1974,457.0,3.0,6481.0,144.0
1975,574.0,0.0,8324.0,192.0
1976,939.0,4.0,13148.0,334.0
1977,775.0,4.0,11795.0,301.0
1978,1126.0,7.0,16834.0,433.0
2252,945.0,2.0,14149.0,334.0
2253,649.0,0.0,9789.0,247.0
2254,254.0,1.0,4053.0,102.0
2255,695.0,0.0,0.0,0.0
2256,2224.0,869.0,208.0,4.0
2257,113.0,0.0,1617.0,45.0
2258,120.0,0.0,1606.0,34.0
2259,102.0,5.0,1385.0,38.0
2260,22.0,0.0,438.0,10.0
2261,515.0,0.0,0.0,0.0
2262,29.0,21.0,508.0,12.0
2263,1473.0,2.0,20804.0,541.0
2326,987.0,4.0,14186.0,368.0
2327,931.0,6.0,13932.0,381.0
2328,303.0,4.0,4414.0,129.0
2394,843.0,3.0,12113.0,331.0
2395,910.0,0.0,0.0,0.0
2396,260.0,357.0,2670.0,68.0
2397,491.0,3.0,6735.0,161.0
2398,456.0,3.0,6222.0,134.0
2399,170.0,0.0,0.0,0.0
2400,90.0,0.0,0.0,0.0
2401,352.0,5.0,5392.0,136.0
2402,17.0,0.0,233.0,5.0
2403,194.0,1.0,3143.0,82.0
2404,315.0,0.0,0.0,0.0
2405,110.0,0.0,0.0,0.0
2464,288.0,1.0,4367.0,99.0
2465,588.0,1.0,8263.0,238.0
2466,538.0,4.0,7635.0,198.0
2467,250.0,0.0,3539.0,81.0
2468,542.0,3.0,9022.0,243.0
2469,331.0,2.0,4694.0,133.0
2470,399.0,1.0,6282.0,153.0
