Body
Date,Weight,BMI,Fat
"01-05-2018","79.46","23.22","17.315"
"02-05-2018","79.03","23.09","17.045"
"03-05-2018","80.06","23.39","16.587"
"04-05-2018","79.84","23.33","16.424"
"05-05-2018","79.63","23.27","16.261"
"06-05-2018","79.42","23.21","16.098"
"07-05-2018","79.21","23.14","15.935"
"08-05-2018","79","23.08","15.772"
"09-05-2018","78.78","23.02","15.609"
"10-05-2018","78.57","22.96","15.446"
"11-05-2018","78.36","22.89","15.276"
"12-05-2018","78.18","22.84","16.474"
"13-05-2018","77.95","22.78","16.483"
"14-05-2018","78.04","22.8","16.683"
"15-05-2018","78.69","22.99","16.799"
"16-05-2018","78.5","22.94","16.483"
"17-05-2018","79.25","23.16","16.264"
"18-05-2018","79.03","23.09","16.361"
"19-05-2018","78.81","23.03","16.458"
"20-05-2018","78.59","22.96","16.555"
"21-05-2018","78.37","22.9","16.652"
"22-05-2018","78.14","22.83","16.75"
"23-05-2018","77.88","22.76","16.691"
"24-05-2018","78.21","22.85","16.801"
"25-05-2018","77.72","22.71","16.187"
"26-05-2018","77.91","22.76","16.389"
"27-05-2018","78.59","22.96","15.803"
"28-05-2018","78.02","22.8","15.574"
"29-05-2018","77.87","22.75","16.142"
"30-05-2018","77.77","22.72","16.188"

