Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-03-04,Breakfast,320.2,11.8,3.0,3.2,4.1,0.0,9.0,180.0,288.0,26.3,2.3,9.4,22.2,0.0,0.0,27.0,0.0
2018-03-13,Breakfast,320.2,11.8,3.0,3.2,4.1,0.0,9.0,180.0,288.0,26.3,2.3,9.4,22.2,0.0,0.0,27.0,0.0
2018-03-13,Lunch,459.0,29.1,6.9,6.0,1.8,0.0,384.0,2274.0,176.0,20.0,7.5,3.0,29.4,32.5,0.0,10.3,28.0
2018-03-13,Dinner,605.3,48.9,15.0,3.0,12.0,0.2,0.0,80.0,0.0,16.5,2.0,2.3,23.7,0.0,0.0,0.0,0.0
2018-03-13,Snack,260.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,255.0,57.3,3.1,12.4,2.0,1.3,93.8,7.5,4.0
2018-03-17,Breakfast,320.2,11.8,3.0,3.2,4.1,0.0,9.0,180.0,288.0,26.3,2.3,9.4,22.2,0.0,0.0,27.0,0.0
2018-03-17,Lunch,705.9,39.2,12.4,0.0,0.0,0.0,0.0,10.0,0.0,59.4,9.6,5.5,31.3,0.0,0.0,0.0,0.0
2018-03-17,Dinner,554.7,28.6,10.9,7.7,9.7,0.0,384.4,703.3,366.0,30.6,4.8,1.0,41.7,32.5,0.0,10.3,28.0
2018-03-17,Snack,298.0,2.6,1.2,0.0,0.3,0.0,5.0,202.0,790.0,29.8,3.4,27.8,38.8,4.4,96.9,63.1,4.0
2018-03-18,Breakfast,320.2,11.8,3.0,3.2,4.1,0.0,9.0,180.0,288.0,26.3,2.3,9.4,22.2,0.0,0.0,27.0,0.0
2018-03-18,Lunch,656.5,31.5,12.8,8.7,8.4,0.0,384.6,1008.0,461.0,47.1,8.2,1.9,42.7,32.5,0.0,10.3,28.0
2018-03-18,Dinner,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-18,Pre/postworkout,361.0,5.1,2.5,0.0,0.6,0.0,10.0,200.0,320.0,45.0,3.6,10.8,31.3,0.0,0.0,30.0,0.0
2018-03-19,Lunch,834.5,46.3,5.9,8.3,4.0,0.0,384.0,212.7,176.0,57.7,0.0,11.1,47.5,32.8,1.5,10.3,28.3
2018-03-19,Dinner,1091.0,42.8,13.0,6.9,13.6,0.0,5.0,523.3,760.0,85.1,4.1,48.5,90.0,9.0,185.0,84.0,4.0
2018-03-19,Snack,126.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,255.0,29.3,3.1,12.4,2.0,1.3,93.8,7.5,4.0
2018-03-20,Lunch,656.0,33.6,9.1,12.8,11.6,0.0,384.0,399.0,176.0,39.0,0.5,1.5,50.2,34.0,9.0,10.3,29.5
2018-03-20,Dinner,1175.0,60.5,23.4,8.3,16.3,0.0,5.0,363.5,160.0,73.1,4.1,39.4,83.0,2.4,108.0,53.1,2.4
2018-03-20,Snack,496.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,255.0,29.3,3.1,12.4,2.0,1.3,93.8,7.5,4.0
2018-03-20,Pre/postworkout,465.0,6.6,3.4,0.0,0.9,0.0,15.0,300.0,480.0,63.8,3.6,25.6,35.7,2.0,90.0,47.0,2.0
2018-03-21,Lunch,792.2,28.5,11.2,6.3,1.8,0.0,386.5,349.9,1456.0,59.7,4.1,18.9,74.1,32.5,0.0,50.2,28.0
2018-03-21,Dinner,549.7,35.2,5.5,0.0,0.0,0.0,0.0,1000.0,0.0,46.4,2.4,4.8,30.9,0.0,0.0,0.0,0.0
2018-03-21,Snack,171.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,255.0,39.4,5.5,22.5,2.3,1.3,93.8,7.5,4.0
2018-03-22,Lunch,816.8,40.5,21.2,7.0,2.3,0.0,384.5,1339.5,413.5,59.7,11.5,6.2,48.8,32.5,1.3,12.2,36.1
2018-03-22,Dinner,814.1,30.8,4.7,5.9,1.1,0.1,0.0,63.0,0.0,74.5,17.0,2.7,48.0,0.0,0.0,0.0,0.0
2018-03-22,Snack,429.0,10.3,1.7,1.8,6.2,0.0,0.2,169.0,107.0,71.5,7.5,2.4,8.8,0.3,16.5,18.3,0.2
2018-03-22,Pre/postworkout,346.0,1.6,0.5,0.0,0.0,0.0,0.0,180.0,675.0,19.4,0.5,19.2,63.2,5.6,5.6,73.1,0.0
2018-03-23,Lunch,912.5,30.5,7.0,2.0,8.0,0.0,0.0,1015.4,196.5,106.5,14.1,33.4,48.1,0.0,90.3,3.3,0.9
2018-03-23,Dinner,750.0,43.0,4.5,0.0,0.0,0.0,0.0,1200.0,0.0,54.0,9.0,20.0,32.0,0.0,0.0,0.0,0.0
2018-03-24,Lunch,1041.4,35.9,15.6,0.0,0.0,0.0,0.0,1225.9,750.0,124.6,18.0,22.4,37.7,0.0,300.0,5.6,10.7
2018-03-24,Dinner,737.3,26.1,9.4,3.2,8.6,0.0,0.6,847.6,285.0,60.4,8.8,12.6,60.5,0.0,0.0,0.0,0.0
2018-03-24,Snack,100.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,1.5,1.4,1.1,0.4,24.8,27.3,0.0
